Sample,Community,Group,Treatment,Time,Replicate,NMR_file,pH,,,,,,,,
NS4.2FL.0.1,Child_4,Nonconverter,2FL,0,1,SR_20201215_ex7_p1.cnx,,,,,,,,,
NS4.2FL.0.2,Child_4,Nonconverter,2FL,0,2,SR_20201215_ex1008_p1.cnx,,,,,,,,,
NS4.2FL.0.3,Child_4,Nonconverter,2FL,0,3,SR_20201215_ex9_p1.cnx,,,,,,,,,
NS4.2FL.12.1,Child_4,Nonconverter,2FL,12,1,SR_20201215_ex1016_p1.cnx,,,,,,,,,
NS4.2FL.12.2,Child_4,Nonconverter,2FL,12,2,SR_20201215_ex17_p1.cnx,,,,,,,,,
NS4.2FL.12.3,Child_4,Nonconverter,2FL,12,3,SR_20201215_ex1018_p1.cnx,,,,,,,,,
NS4.2FL.24.1,Child_4,Nonconverter,2FL,24,1,SR_20201216_ex1_p1.cnx,,,,,,,,,
NS4.2FL.24.2,Child_4,Nonconverter,2FL,24,2,SR_20201216_ex2_p1.cnx,,,,,,,,,
NS4.2FL.24.3,Child_4,Nonconverter,2FL,24,3,SR_20201216_ex3_p1.cnx,,,,,,,,,
NS4.2FL.36.1,Child_4,Nonconverter,2FL,36,1,SR_20201216_ex1010_p1.cnx,,,,,,,,,
NS4.2FL.36.2,Child_4,Nonconverter,2FL,36,2,SR_20201216_ex11_p1.cnx,,,,,,,,,
NS4.2FL.36.3,Child_4,Nonconverter,2FL,36,3,SR_20201216_ex12_p1.cnx,,,,,,,,,
NS4.2FL.48.1,Child_4,Nonconverter,2FL,48,1,SR_20201216_ex19_p1.cnx,,,,,,,,,
NS4.2FL.48.2,Child_4,Nonconverter,2FL,48,2,SR_20201216_ex20_p1.cnx,,,,,,,,,
NS4.2FL.48.3,Child_4,Nonconverter,2FL,48,3,SR_20201216_ex21_p1.cnx,,,,,,,,,
NS4.2FL.60.1,Child_4,Nonconverter,2FL,60,1,SR_20201217_ex1_p1.cnx,,,,,,,,,
