"","Comparison","Treatment.diff","Treatment.lwr","Treatment.upr","Treatment.p.adj","Metabolite","BH"
"38","pHMOs-2'FL",1.90816694797253,1.63989277864584,2.17644111729923,1.98884242408326e-11,"Phenylalanine",1.19367848938623e-10
"39","pHMOs-No Treatment",2.02037423775222,1.75210006842552,2.28864840707891,1.98884242408326e-11,"Phenylalanine",1.19367848938623e-10
"40","No Treatment-2'FL",-0.478281437918538,-0.875249600363132,-0.0813132754739453,0.0143849575736086,"Propanol",0.0231562731672724
"41","pHMOs-2'FL",1.50131237116227,1.10434420871768,1.89828053360687,2.20129470207553e-11,"Propanol",1.21071208614154e-10
"42","pHMOs-No Treatment",1.97959380908081,1.58262564663622,2.37656197152541,1.98946414897705e-11,"Propanol",1.19367848938623e-10
"43","No Treatment-2'FL",-0.0499188403745153,-0.698518834840175,0.598681154091144,0.981322658101466,"Succinate",0.999238735633637
"44","pHMOs-2'FL",1.04691567992177,0.398315685456109,1.69551567438743,0.0007593586018666,"Succinate",0.00135453156008637
"45","pHMOs-No Treatment",1.09683452029628,0.448234525830624,1.74543451476194,0.000413399254853952,"Succinate",0.000757898633898912
"46","No Treatment-2'FL",0.0271185402215836,-0.563730682872303,0.61796776331547,0.993315634889467,"Threonine",0.999238735633637
"47","pHMOs-2'FL",1.32044480892014,0.729595585826257,1.91129403201403,3.98015957536746e-06,"Threonine",8.75635106580841e-06
"48","pHMOs-No Treatment",1.29332626869856,0.702477045604673,1.88417549179245,6.00028248298745e-06,"Threonine",1.27747949637797e-05
"49","No Treatment-2'FL",-0.384146006998643,-0.923979084806703,0.155687070809416,0.20979564998656,"Thymine",0.301011149980716
"50","pHMOs-2'FL",1.23875495107362,0.69892187326556,1.77858802888168,2.32098438324169e-06,"Thymine",5.67351738125746e-06
"51","pHMOs-No Treatment",1.62290095807226,1.0830678802642,2.16273403588032,3.1135775069302e-09,"Thymine",1.28435072160871e-08
"52","No Treatment-2'FL",-0.0374813299548632,-0.506199263033368,0.431236603123641,0.979853063239197,"Trimethylamine",0.999238735633637
"53","pHMOs-2'FL",1.62920658229405,1.16048864921555,2.09792451537256,5.66473534746592e-11,"Trimethylamine",2.67051809237679e-10
"54","pHMOs-No Treatment",1.66668791224892,1.19796997917041,2.13540584532742,3.72483155430814e-11,"Trimethylamine",1.89106832757182e-10
"55","No Treatment-2'FL",-0.134883247931809,-0.413860159216436,0.144093663352818,0.48036424669448,"Tyrosine",0.647021230241544
"56","pHMOs-2'FL",1.88410151167972,1.60512460039509,2.16307842296435,1.98884242408326e-11,"Tyrosine",1.19367848938623e-10
"57","pHMOs-No Treatment",2.01898475961153,1.7400078483269,2.29796167089615,1.98884242408326e-11,"Tyrosine",1.19367848938623e-10
"58","No Treatment-2'FL",-0.22308776642706,-0.72331634502777,0.277140812173651,0.535149348112041,"Uracil",0.692546215203817
"59","pHMOs-2'FL",1.45100642086188,0.950777842261172,1.95123499946259,8.40350045105964e-09,"Uracil",3.26253546923492e-08
"60","pHMOs-No Treatment",1.67409418728894,1.17386560868823,2.17432276588965,1.43999812074469e-10,"Uracil",6.33599173127664e-10
"61","No Treatment-2'FL",-0.101024261054915,-0.675992261767055,0.473943739657225,0.906555570348101,"Valine",0.999238735633637
"62","pHMOs-2'FL",1.30783442270721,0.732866421995074,1.88280242341935,2.78240979134647e-06,"Valine",6.55853736531669e-06
"63","pHMOs-No Treatment",1.40885868376213,0.833890683049989,1.98382668447427,5.61284430822262e-07,"Valine",1.61064227975084e-06
"64","No Treatment-2'FL",0.0646773051799882,-0.627657518802963,0.75701212916294,0.972609345997271,"p-Cresol",0.999238735633637
"65","pHMOs-2'FL",-0.798747963194306,-1.49108278717726,-0.106413139211355,0.0199478067864985,"p-Cresol",0.0306175639048582
"66","pHMOs-No Treatment",-0.863425268374294,-1.55576009235725,-0.171090444391343,0.0108950345061607,"p-Cresol",0.0184377507027335
