NMR_file,2-Piperidinone,3-Phenylpropionate,4-Hydroxyphenylacetate,4-Aminobenzoate,5-Aminopentanoate,Acetate,Alanine,Benzoate,Butyrate,Desaminotyrosine,Dimethylamine,Ethanol,Formate,Fumarate,Glutamate,Glycine,Glycolate,Histidine,Hypoxanthine,Indole,Isobutyrate,Isoleucine,Isovalerate,Aspartate,Lactate,Leucine,Malonate,Methanol,Methionine,Methylamine,Nicotinate,Phenylacetate,Phenylalanine,Propionate,Propanol,Pyroglutamate,Succinate,Tartrate,Threonine,Thymine,Trimethylamine,Tyrosine,Uracil,Valerate,Valine,p-Cresol,Beta-Alanine
SR_20201204_ex31_p1.cnx,0.0048,0,0.0232,0.0265,0.0527,65.9122,0.1057,0.0964,10.1053,0.0017,0,8.549,0.008,0,0.0385,0.0124,0.1963,0.0066,0,0.0194,1.0282,0,0.7216,0,0,0,0.0125,0.0275,0.0027,0.0331,0,0.216,0,18.9016,3.3112,0,0.002,0,0,0.0143,0.4352,0.0037,0.0135,3.1249,0,0.0367,0.003
SR_20201204_ex32_p1.cnx,0.0038,0,0.0415,0.0248,0.0571,69.1895,0.1083,0.0949,10.5876,0.0015,0,8.8726,0.0096,0,0.0172,0.0146,0.1987,0.0095,0,0.0293,1.033,0,0.7583,0,0,0,0.0141,0.0391,0.0021,0.036,0,0.2092,0,20.1621,3.1211,0,0.0013,0,0,0.0092,0.4438,0.0032,0.0119,3.3423,0,0.0335,0.0066
SR_20201204_ex33_p1.cnx,0.0046,0,0.0283,0.0306,0.0453,67.2573,0.1069,0.0983,10.4081,6.00E-04,0,8.78,0.014,0,0.0189,0.0181,0.1968,0.009,0,0.0225,1.0795,0,0.7194,0,0.0209,0,0.0126,0.0304,0.0048,0.031,0,0.1962,0,19.494,3.2683,0,0.0011,0,0,0.0151,0.4331,0,0.0132,3.5076,0,0.0413,0.0037
SR_20201204_ex34_p1.cnx,0,0,0.0257,0.0265,0.1313,91.3913,0.4141,0.1273,13.1298,0.0024,0,12.4831,0.0107,0,0.187,0.0161,0.1569,0.0166,0.0058,0,0.9342,0.0537,0.6851,0,0.0128,0.1318,0.1088,0.105,0.0128,0.0147,0,0.1618,0.0412,26.3223,5.4866,0,0.0019,0,0.0195,0.0322,0.8876,0.0472,0.2268,3.4359,0.0742,0.0063,0.0105
SR_20201204_ex35_p1.cnx,0,0,0.0234,0.0281,0.1636,93.516,0.4407,0.1211,13.4224,0.0033,0,13.4609,0.0079,0,0.215,0.0151,0.1469,0.0204,0,0,0.9428,0.0594,0.7094,0,0.016,0.1433,0.1183,0.1491,0.0089,0.0174,0.0112,0.1828,0.0655,27.0498,5.3958,0,0.004,0.0061,0.0187,0.035,0.8978,0.0634,0.2697,3.4564,0.087,0.0076,0.0116
SR_20201204_ex36_p1.cnx,0,0,0.0284,0.0318,0.1577,97.2251,0.4243,0.1287,14.1054,0.003,0,13.3259,0.0084,0,0.2219,0.0174,0.1633,0.0191,0,0.0069,0.9499,0.059,0.7633,0,0.0163,0.1638,0.1144,0.1202,0.0062,0.0208,0.0084,0.1784,0.0643,27.3216,5.498,0,0.0025,0.0057,0,0.0363,0.9336,0.0618,0.2477,3.4965,0.0774,0.0054,0.0093
SR_20201209_ex28_p1.cnx,0.3664,0,0.0824,0.0269,0.4997,48.8071,0.0522,0.1293,9.7523,0.0026,0,11.7057,0.031,7.00E-04,0.0417,0.0185,0.2135,0,0.0059,0.0273,0.9885,0,0.6612,0.0172,0.0037,0,0.0114,1.1958,0.0033,0.0525,0,0.1861,0.0068,21.4362,1.0435,0.018,0.0022,0.0074,0,0,0.4123,0.0028,0.0184,0.6347,0,0,0
SR_20201209_ex29_p1.cnx,0.3319,0,0.1005,0.0279,0.4893,48.3849,0.0513,0.1217,9.6021,0.0028,0,11.7476,0.0155,8.00E-04,0.034,0.0191,0.2019,0,0.008,0.019,0.9825,0,0.6962,0.0159,0,0,0.0119,1.0698,0.0031,0.0533,0,0.2041,0.0078,21.7526,0.9761,0,0.0021,0.0068,0,0.0051,0.386,0.0034,0.026,0.5749,0,0,0
SR_20201209_ex30_p1.cnx,0.3488,0,0.096,0.031,0.5025,50.9158,0.0478,0.1209,10.2089,0.003,0,11.7349,0.0167,0.0013,0.0231,0.0194,0.2146,0,0.0071,0.0211,1.0501,0,0.7257,0.0171,0,0,0.0109,1.1831,0.0057,0.0573,0,0.1887,0.0063,23.197,1.059,0,0.0027,0.0066,0,0.0053,0.4184,0.0029,0.0218,0.5821,0,0,0
SR_20201209_ex31_p1.cnx,0.3186,0,0.0634,0.0308,0.4981,54.2327,0.0547,0.1253,11.037,0.0011,0,12.4054,0.0275,0,0.0375,0.0122,0.2114,0,0.0062,0.0254,1.0971,0,0.6396,0.0211,0,0,0.0121,1.1968,0.0075,0.0484,0,0.1634,0.007,24.9131,2.0006,0.02,0.0023,0.0062,0,0.0055,0.4131,0.0058,0.0211,0.625,0,0,0
SR_20201209_ex32_p1.cnx,0.3431,0,0.0687,0.0319,0.5069,52.5543,0.0613,0.1302,10.9121,0.0026,0,13.0278,0.0375,0,0.019,0.0174,0.2237,0,0.0103,0.0232,1.0768,0,0.6721,0.0164,0.006,0,0.0142,1.2337,0.009,0.0453,0,0.163,0.0168,24.6943,2.0814,0.0181,0.0023,0.0066,0,0.0096,0.409,0.0309,0.0348,0.6706,0,0,0.0048
SR_20201209_ex34_p1.cnx,0.2805,0,0.0095,0.0279,0.5671,58.4459,0.369,0.1496,15.1333,0.0026,0,21.9986,0.0925,0.0013,0.1668,0.0184,0.1832,0.0231,0.0068,0,0.9588,0.0987,0.5027,0.0229,0.0244,0.2511,0.1394,1.3191,0.0567,0.0209,0.0089,0.0984,0.0682,28.1202,5.1431,0.0169,0.0011,0.0068,0.0305,0.0268,0.931,0.0733,0.2481,0.7744,0.1037,0,0.012
