Sample,cellcounts
S3.Con.72.2,0
S3.Con.72.3,0
S3.pHMO.0.1,296160000
S3.pHMO.0.2,316880000
S3.pHMO.0.3,144140000
S3.pHMO.12.1,292520000
S3.pHMO.12.2,204080000
S3.pHMO.12.3,232470000
S3.pHMO.24.1,306590000
S3.pHMO.24.2,306590000
S3.pHMO.24.3,306590000
S3.pHMO.36.1,263650000
S3.pHMO.36.2,263650000
S3.pHMO.36.3,263650000
S3.pHMO.48.1,184220000
S3.pHMO.48.2,184220000
S3.pHMO.48.3,184220000
S3.pHMO.60.1,612210000
S3.pHMO.60.2,612210000
S3.pHMO.60.3,612210000
S3.pHMO.72.1,0
S3.pHMO.72.2,0
S3.pHMO.72.3,0
S2.2FL.0.1,171440000
S2.2FL.0.2,157240000
S2.2FL.0.3,140760000
S2.2FL.12.1,139520000
S2.2FL.12.2,120000000
S2.2FL.12.3,121610000
S2.2FL.24.1,65810000
S2.2FL.24.2,84190000
S2.2FL.24.3,80210000
S2.2FL.36.1,106000000
S2.2FL.36.2,99120000
S2.2FL.36.3,106040000
S2.2FL.48.1,104240000
S2.2FL.48.2,119460000
S2.2FL.48.3,111710000
S2.2FL.60.1,101320000
S2.2FL.60.2,86080000
S2.2FL.60.3,89970000
S2.2FL.72.1,114900000
S2.2FL.72.2,131590000
S2.2FL.72.3,121950000
S2.Con.0.1,133120000
S2.Con.0.2,175250000
S2.Con.0.3,146560000
S2.Con.12.1,140810000
S2.Con.12.2,129320000
S2.Con.12.3,126600000
S2.Con.24.1,70530000
S2.Con.24.2,63680000
S2.Con.24.3,78870000
S2.Con.36.1,101360000
S2.Con.36.2,123100000
S2.Con.36.3,100770000
S2.Con.48.1,99120000
S2.Con.48.2,133400000
S2.Con.48.3,110240000
S2.Con.60.1,120520000
S2.Con.60.2,109500000
S2.Con.60.3,115010000
S2.Con.72.1,203480000
S2.Con.72.2,122720000
S2.Con.72.3,105460000
S2.pHMO.0.1,140320000
S2.pHMO.0.2,137900000
S2.pHMO.0.3,145560000
S2.pHMO.12.1,173240000
S2.pHMO.12.2,161930000
S2.pHMO.12.3,118400000
S2.pHMO.24.1,110440000
S2.pHMO.24.2,88280000
S2.pHMO.24.3,92900000
S2.pHMO.36.1,150900000
S2.pHMO.36.2,123700000
S2.pHMO.36.3,137300000
S2.pHMO.48.1,177480000
S2.pHMO.48.2,124380000
S2.pHMO.48.3,144670000
S2.pHMO.60.1,139510000
S2.pHMO.60.2,119090000
S2.pHMO.60.3,203480000
S2.pHMO.72.1,169130000
S2.pHMO.72.2,144800000
S2.pHMO.72.3,98650000
S5.2FL.0.1,202740000
S5.2FL.0.2,202740000
S5.2FL.0.3,202740000
S5.2FL.12.1,216360000
S5.2FL.12.2,220700000
S5.2FL.12.3,210790000
S5.2FL.24.1,72070000
S5.2FL.24.2,72070000
S5.2FL.24.3,72070000
S5.2FL.36.1,163310000
S5.2FL.36.2,163310000
S5.2FL.36.3,163310000
S5.2FL.48.1,178880000
S5.2FL.48.2,178880000
S5.2FL.48.3,178880000
S5.2FL.60.1,168560000
S5.2FL.60.2,168560000
S5.2FL.60.3,168560000
S5.2FL.72.1,206880000
S5.2FL.72.2,209330000
S5.2FL.72.3,227640000
S5.Con.0.1,202740000
S5.Con.0.2,202740000
S5.Con.0.3,202740000
S5.Con.12.1,297350000
S5.Con.12.2,138290000
S5.Con.12.3,185300000
S5.Con.24.1,106750000
S5.Con.24.2,106750000
S5.Con.24.3,106750000
S5.Con.36.1,241970000
S5.Con.36.2,241970000
S5.Con.36.3,241970000
S5.Con.48.1,230120000
S5.Con.48.2,230120000
S5.Con.48.3,230120000
S5.Con.60.1,323950000
S5.Con.60.2,323950000
S5.Con.60.3,323950000
S5.Con.72.1,314850000
S5.Con.72.2,175570000
S5.Con.72.3,166450000
S5.pHMO.0.1,202740000
S5.pHMO.0.2,202740000
S5.pHMO.0.3,202740000
S5.pHMO.12.1,321310000
S5.pHMO.12.2,334300000
S5.pHMO.12.3,332460000
S5.pHMO.24.1,103710000
S5.pHMO.24.2,103710000
S5.pHMO.24.3,103710000
S5.pHMO.36.1,257690000
S5.pHMO.36.2,257690000
S5.pHMO.36.3,257690000
S5.pHMO.48.1,210430000
S5.pHMO.48.2,210430000
S5.pHMO.48.3,210430000
S5.pHMO.60.1,282460000
S5.pHMO.60.2,282460000
S5.pHMO.60.3,282460000
S5.pHMO.72.1,235450000
S5.pHMO.72.2,321170000
S5.pHMO.72.3,227580000
